Transaction Number,Vendor,Category,Amount
8001848708,GREATER LONDON FOSTERING LTD,Children and Education,"£4,424"
8001848907,PARENT & CHILD FOSTERING SERVICE,Children and Education,"£4,424"
5201140474,RINGWAY JACOBS LIMITED,Public Realm,"£4,420"
8001847510,DRS CARE HOMES LTD,Temporary Accommodation,"£4,412"
8001848804,THE FOSTERING FOUNDATION LTD,Children and Education,"£4,406"
8001846537,BARCHESTER HEALTHCARE HOMES LTD,Temporary Accommodation,"£4,406"
8001839921,EDENVALE CARE LIMITED,Temporary Accommodation,"£4,406"
8001839962,EDENVALE CARE LIMITED,Social care,"£4,406"
5201138376,MIDLAND FORESTRY LTD,Public Realm,"£4,391"
8001774421,SURREY COUNTY COUNCIL,Children and Education,"£4,379"
5201139057,RINGWAY JACOBS LIMITED,Public Realm,"£4,374"
5201138351,UNITED GUARDING SERVICES LTD,General,"£4,370"
8001811967,ALERE CARE LIMITED,"Construction, Property and Fac Man","£4,360"
8001847445,LEONARD CHESHIRE DISABILITY,Social care,"£4,348"
8001847519,CEPHAS CARE LTD,Temporary Accommodation,"£4,344"
1900802033,EC MILLS LTD,General,"£4,330"
8001834041,DILIGENT CARE SERVICES LTD,Social care,"£4,326"
1900804814,CIPFA BUSINESS LIMITED,Learning and Development,"£4,320"
8001843757,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£4,318"
8001843791,CARETECH COMMUNITY SERVICES LTD,Temporary Accommodation,"£4,318"
8001847678,ASHNESS CARE LTD,Temporary Accommodation,"£4,313"
8001848883,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£4,307"
8001815387,SANKOFA CARE LTD,Children and Education,"£4,299"
8001850967,ALERE CARE LIMITED,"Construction, Property and Fac Man","£4,296"
8001848623,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£4,291"
8001846661,NEWSTEAD NURSING HOME,Social care,"£4,286"
8001848625,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£4,276"
8001848582,PRUDENTIAL CARE GROUP (LONDON) LIMI,Temporary Accommodation,"£4,276"
8001825961,GLENHOLME MENTAL HEALTHCARE LIMITED,Temporary Accommodation,"£4,265"
8001825981,GLENHOLME MENTAL HEALTHCARE LIMITED,Temporary Accommodation,"£4,265"
8001826021,GLENHOLME MENTAL HEALTHCARE LIMITED,Temporary Accommodation,"£4,265"
8001815509,FAMILIES@FAMILY CARE LIMITED,Children and Education,"£4,264"
8001850506,HAIL LTD,Social care,"£4,258"
8001842181,MSASA CARE LTD,Temporary Accommodation,"£4,245"
1900804365,SCCI ALPHATRACK LTD,"Construction, Property and Fac Man","£4,238"
8001847547,ASHNESS CARE LTD,Temporary Accommodation,"£4,238"
8001847679,ASHNESS CARE LTD,Temporary Accommodation,"£4,229"
8001847606,ASHNESS CARE LTD,Temporary Accommodation,"£4,229"
8001847600,ASHNESS CARE LTD,Temporary Accommodation,"£4,229"
8001848590,ROYAL MENCAP SOCIETY,Temporary Accommodation,"£4,218"
8001848580,PRUDENTIAL CARE GROUP (LONDON) LIMI,Temporary Accommodation,"£4,209"
8001848647,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£4,207"
8001848570,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£4,207"
8001843771,GLENHOLME MENTAL HEALTHCARE LIMITED,Temporary Accommodation,"£4,207"
8001847718,DRS CARE HOMES LTD,Temporary Accommodation,"£4,207"
8001848646,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£4,207"
8001843602,OUTWARD HOUSING,Temporary Accommodation,"£4,207"
5201138658,THE WILLOW SCHOOL,Learning and Development,"£4,206"
1900802690,FORTISMERE SCHOOL,Finance,"£4,203"
8001847490,ASHNESS CARE LTD,Temporary Accommodation,"£4,200"
8001840341,PRECIOUS HOMES LTD,Temporary Accommodation,"£4,189"
8001843681,HAIL LTD,Social care,"£4,176"
8001846613,MAGICARE LTD,Social care,"£4,170"
5201140811,FINSBURY PARK SPORTS PARTNERSHIP LI,General,"£4,167"
8001847731,ASHNESS CARE LTD,Temporary Accommodation,"£4,154"
1900803170,STACE LLP,"Construction, Property and Fac Man","£4,153"
5201139166,STHREE STAFFING UK LTD,People and Recruitment,"£4,150"
8001848722,ACTION FOR CHILDREN,Children and Education,"£4,147"
5201138865,NORTH LONDON CATERING EQUIPMENT LTD,Food and Drink,"£4,143"
8001847693,ASHNESS CARE LTD,Temporary Accommodation,"£4,141"
8001847470,BARONSMEDE FAMILY HOME LTD,Temporary Accommodation,"£4,136"
1900802285,SOUNDINGS (CONSTRUCTION) LTD,People and Recruitment,"£4,125"
8001848740,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£4,119"
8001848717,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£4,118"
8001842745,UNIFIED CARE LTD T/A VICTORIA'S CAR,Temporary Accommodation,"£4,105"
1900803896,VAROSI ESTATES LIMITED,Temporary Accommodation,"£4,102"
8001825281,KARTEROS LTD T/A ST MARKS DAY SERVI,Social care,"£4,100"
8001850508,GCH PEREGRINE HOUSE LTD,Social care,"£4,097"
8001848624,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£4,096"
8001825332,ADIEMUS CARE LIMITED T/A CHAPLIN LO,General,"£4,096"
8001842744,UNIFIED CARE LTD T/A VICTORIA'S CAR,Temporary Accommodation,"£4,094"
5201138862,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£4,089"
8001847587,DRS CARE HOMES LTD,Temporary Accommodation,"£4,084"
1900804734,THE GOOD PACK LTD,Temporary Accommodation,"£4,080"
8001848581,PRUDENTIAL CARE GROUP (LONDON) LIMI,Temporary Accommodation,"£4,074"
5201139007,NLPC LTD,General,"£4,071"
8001843642,GREENVIEW HEALTHCARE LTD,Temporary Accommodation,"£4,065"
5201138440,EASTERN SHIRES PURCHASING ORGANISAT,General,"£4,061"
8001848826,SEAFIELDS FOSTERING LIMITED,Children and Education,"£4,051"
5201139376,LYNCADE LTD t/a CAVENDISH CARS,Transport & Travel,"£4,048"
5201139767,QA LIMITED,Learning and Development,"£4,039"
8001848618,PRIORY GROUP LIMITED,Temporary Accommodation,"£4,037"
8001793681,HAIL LTD,Social care,"£4,035"
8001829001,HAIL LTD,Social care,"£4,035"
8001838941,HAIL LTD,Social care,"£4,035"
8001827181,CORE OUTREACH & CARE SERVICES UK LT,Social care,"£4,032"
5201139769,INDEPENDENT SOCIAL WORK MATTERS LTD,People and Recruitment,"£4,031"
8001815341,BY THE BRIDGE,Children and Education,"£4,027"
8001848579,PRUDENTIAL CARE GROUP (LONDON) LIMI,Temporary Accommodation,"£4,015"
8001848649,NORWOOD SCHOOLS LTD,Temporary Accommodation,"£4,013"
8001811924,AFTER CARE (N W) LIMITED,"Construction, Property and Fac Man","£4,000"
8001811917,YOUNG OPTIONS COLLEGE LTD,"Construction, Property and Fac Man","£4,000"
1900803615,REDACTED PERSONAL DATA,Legal,"£4,000"
1900804512,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£4,000"
8001815536,PARENT & CHILD FOSTERING SERVICE,Children and Education,"£3,996"
8001815328,GREATER LONDON FOSTERING LTD,Children and Education,"£3,996"
8001815544,PARENT & CHILD FOSTERING SERVICE,Children and Education,"£3,996"
8001830301,ADELAIDE CARE LTD,Social care,"£3,993"
8001811201,ADELAIDE CARE LTD,Social care,"£3,993"
5201138859,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£3,987"
8001847515,DRS CARE HOMES LTD,Temporary Accommodation,"£3,987"
8001846539,MAGICARE LTD,Temporary Accommodation,"£3,986"
8001847681,ADMIRAL HEALTHCARE LIMITED,Temporary Accommodation,"£3,986"
8001847596,GREENFIELDS RES CARE HOMES LTD,Temporary Accommodation,"£3,986"
8001815425,THE FOSTERING FOUNDATION LTD,Children and Education,"£3,980"
1900804326,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£3,978"
8001817327,FOUR SEASONS 2000 LIMITED,Social care,"£3,977"
8001848889,FOCUS ON FOSTERING LTD,Children and Education,"£3,969"
8001835541,ST ALEX LTD,Temporary Accommodation,"£3,966"
8001848565,NEWNTON HOUSE RESIDENTIAL PROJECT,Temporary Accommodation,"£3,959"
5201140529,ALLANSMAGIC,Children and Education,"£3,950"
8001850973,THEMICARE LTD,"Construction, Property and Fac Man","£3,941"
8001822821,L' ARCHE LAMBETH,Social care,"£3,932"
8001822841,L' ARCHE LAMBETH,Social care,"£3,932"
5201139867,CGI IT UK LIMITED,IT and Telecoms,"£3,924"
8001850857,THEMICARE LTD,"Construction, Property and Fac Man","£3,924"
8001850965,THEMICARE LTD,"Construction, Property and Fac Man","£3,924"
8001848560,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,920"
8001848557,REDACTED PERSONAL DATA,Temporary Accommodation,"£3,920"
8001821841,VINEYARD (UK) SERVICES LTD,Social care,"£3,919"
8001840801,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,916"
8001848594,PRUDENTIAL CARE HOME LTD,Temporary Accommodation,"£3,916"
1900804498,PRESCOTT THOMAS LTD,Food and Drink,"£3,914"
5201138907,RUSKINS TREE SURGERY LTD,Public Realm,"£3,914"
8001848919,FOSTERPLUS LIMITED,Children and Education,"£3,906"
8001795721,EAST THAMES GROUP,Social care,"£3,903"
8001825041,EAST THAMES GROUP,Social care,"£3,903"
8001815516,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,890"
5201141606,GGP SYSTEMS LIMITED,IT and Telecoms,"£3,884"
8001811961,ALERE CARE LIMITED,"Construction, Property and Fac Man","£3,880"
8001822761,VINEYARD (UK) SERVICES LTD,Social care,"£3,880"
1900804434,PRESCOTT THOMAS LTD,Food and Drink,"£3,873"
8001836661,HAIL LTD,Social care,"£3,871"
8001826001,GLENHOLME MENTAL HEALTHCARE LIMITED,Temporary Accommodation,"£3,852"
8001848567,SUNRISE OPERATIONS SOLIHULL LTD,Temporary Accommodation,"£3,843"
8001848824,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,841"
8001843941,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£3,840"
8001850938,URBAN LAND MANAGEMENT LTD,"Construction, Property and Fac Man","£3,840"
8001824801,NEWSTEAD NURSING HOME,Social care,"£3,839"
5201140853,SHEPHEARD EPSTEIN & HUNTER PLC,"Construction, Property and Fac Man","£3,835"
5201138911,TEAM (ENERGY AUDITING AGENCY LTD),Energy and Utilities,"£3,835"
5201141133,TEAM (ENERGY AUDITING AGENCY LTD),Energy and Utilities,"£3,835"
5201140531,NORTH LONDON CATERING EQUIPMENT LTD,Food and Drink,"£3,811"
8001848719,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,804"
8001848908,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,804"
1900804918,BRETSA LTD,People and Recruitment,"£3,802"
8001816521,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,784"
5201140085,CIVICA UK LTD,IT and Telecoms,"£3,783"
8001817874,ROSEVIEW CARE HOMES,Temporary Accommodation,"£3,780"
8001836801,HAIL LTD,Social care,"£3,777"
5201140159,CGI IT UK LIMITED,IT and Telecoms,"£3,770"
1900804755,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£3,767"
8001836561,DRUGLINK,Social care,"£3,766"
8001843685,MSASA CARE LTD,Temporary Accommodation,"£3,764"
8001843758,GLENHOLME MENTAL HEALTHCARE LIMITED,Temporary Accommodation,"£3,764"
8001848684,SANDHURST LODGE LTD,Temporary Accommodation,"£3,764"
8001847588,BELMONT HOUSE CARE HOME,Temporary Accommodation,"£3,764"
8001848898,ISLINGTON COUNCIL,Children and Education,"£3,764"
8001842759,THE JENNIFER HOME,Temporary Accommodation,"£3,764"
8001848671,MAGICARE LTD,Temporary Accommodation,"£3,764"
8001847629,DRS CARE HOMES LTD,Temporary Accommodation,"£3,764"
8001840361,PRECIOUS HOMES LTD,Social care,"£3,764"
8001847700,DRS CARE HOMES LTD,Temporary Accommodation,"£3,756"
8001848710,MOMENTS FOSTERING LTD,Children and Education,"£3,751"
8001848918,MOMENTS FOSTERING LTD,Children and Education,"£3,751"
5201140886,KNOWLEDGE SUPPORT LEARNING CIC,Learning and Development,"£3,750"
1900804076,IPEOPLE SERVICES LIMITED,People and Recruitment,"£3,750"
5201141124,KNOWLEDGE SUPPORT LEARNING CIC,Learning and Development,"£3,750"
1900804822,IPEOPLE SERVICES LIMITED,People and Recruitment,"£3,750"
1900802792,IPEOPLE SERVICES LIMITED,People and Recruitment,"£3,750"
1900803336,IPEOPLE SERVICES LIMITED,People and Recruitment,"£3,750"
1900803379,IPEOPLE SERVICES LIMITED,People and Recruitment,"£3,750"
8001843861,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£3,748"
8001815340,ACTION FOR CHILDREN,Children and Education,"£3,746"
8001843606,RESIDENTIAL CARE SERVICES LTD,Temporary Accommodation,"£3,737"
8001848538,THE ROLAND RESIDENTIAL CARE HOME,Temporary Accommodation,"£3,722"
8001843668,FAMILY MOSAIC,Temporary Accommodation,"£3,721"
8001815358,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,720"
8001815335,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,720"
1900803370,DOCUMENT TECHNOLOGY LIMITED,Communication,"£3,719"
5201138401,EQUINOX,Social care,"£3,710"
8001836821,BIKUR CHOLIM LTD,Social care,"£3,709"
1900804492,PRESCOTT THOMAS LTD,Food and Drink,"£3,703"
5201141348,JAPANESE KNOTWEED ERADICATION,Public Realm,"£3,700"
8001850904,CARE R US LTD T/A KROSSROADS,"Construction, Property and Fac Man","£3,698"
8001847475,BETHEL CARE SERVICES LTD,Temporary Accommodation,"£3,695"
1900802835,PENNA PLC,People and Recruitment,"£3,689"
8001848528,L' ARCHE LAMBETH,Temporary Accommodation,"£3,688"
8001838921,HAIL LTD,Social care,"£3,688"
8001847709,ASHNESS CARE LTD,Temporary Accommodation,"£3,684"
8001848906,CHILDREN FIRST FOSTERING AGENCY LTD,Children and Education,"£3,671"
8001848929,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,659"
8001815449,SEAFIELDS FOSTERING LIMITED,Children and Education,"£3,659"
8001848765,ETHELBERT SPECIALIST HOMES LTD,Children and Education,"£3,659"
8001811381,ALLFORCARE,Social care,"£3,658"
8001843773,MSASA CARE LTD,Temporary Accommodation,"£3,654"
5201140147,PLM OFFICE SOLUTION,General,"£3,652"
8001817868,PRIORY GROUP LIMITED,Temporary Accommodation,"£3,646"
8001835209,JJ ESTATES LTD,"Construction, Property and Fac Man","£3,643"
8001848734,FUTURES FOR CHILDREN LIMITED,Children and Education,"£3,639"
8001850842,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£3,631"
8001850985,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£3,631"
8001850922,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£3,631"
8001848885,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,631"
8001843619,BLUE OPAL LIMITED,Temporary Accommodation,"£3,631"
8001846501,LANCAM NURSING HOME,Temporary Accommodation,"£3,614"
5201141270,SELECTAMARK SECURITY SYSTEMS PLC,"Construction, Property and Fac Man","£3,610"
8001848884,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,608"
8001822601,VINEYARD (UK) SERVICES LTD,Social care,"£3,605"
8001848937,RYANCARE FOSTERING LTD,Children and Education,"£3,600"
8001847482,ASHLEY HOUSE,Temporary Accommodation,"£3,594"
8001848834,FOSTERCARE UK LTD,Children and Education,"£3,592"
8001848741,BRIGHTER FUTURES FOSTER CARE LTD,Children and Education,"£3,589"
8001848873,DIVERSE CARE (UK) LTD,Children and Education,"£3,589"
8001848783,FUTURES FOR CHILDREN LIMITED,Children and Education,"£3,587"
8001815523,FOCUS ON FOSTERING LTD,Children and Education,"£3,585"
1900802504,PENNA PLC,People and Recruitment,"£3,575"
8001825661,CHRISTIES CARE LTD,Social care,"£3,572"
8001848904,OUTLOOK FOSTERING SERVICES LTD,Children and Education,"£3,569"
5201139138,JAMES COLES & SONS (NURSERIES) LTD,Public Realm,"£3,567"
1900802627,LONDON BOROUGH OF HACKNEY,Communication,"£3,566"
1900804202,THE BRANDON CENTRE,People and Recruitment,"£3,565"
1900804201,THE BRANDON CENTRE,People and Recruitment,"£3,565"
1900804129,THE BRANDON CENTRE,People and Recruitment,"£3,565"
1900804364,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£3,563"
8001811970,THEMICARE LTD,"Construction, Property and Fac Man","£3,560"
8001848776,CORE ASSETS FOSTERING LTD,Children and Education,"£3,556"
8001848774,CORE ASSETS FOSTERING LTD,Children and Education,"£3,556"
8001848731,FOCUS ON FOSTERING LTD,Children and Education,"£3,554"
8001848822,FOCUS ON FOSTERING LTD,Children and Education,"£3,554"
8001848821,FOCUS ON FOSTERING LTD,Children and Education,"£3,554"
8001848812,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,552"
8001848813,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,552"
1900803366,CIPFA BUSINESS LIMITED,Learning and Development,"£3,550"
8001847479,DEAF INITELY INDEPENDENT,Social care,"£3,546"
8001848634,QUINTUS HOUSING TRUST,Temporary Accommodation,"£3,545"
8001811959,THEMICARE LTD,"Construction, Property and Fac Man","£3,544"
8001843682,MCCH SOCIETY LTD,Temporary Accommodation,"£3,544"
8001850856,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£3,543"
8001847589,DRS CARE HOMES LTD,Temporary Accommodation,"£3,543"
8001847451,DRS CARE HOMES LTD,Temporary Accommodation,"£3,543"
8001848559,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,543"
8001843660,MSASA CARE LTD,Temporary Accommodation,"£3,543"
8001847452,DRS CARE HOMES LTD,Temporary Accommodation,"£3,543"
8001847582,DRS CARE HOMES LTD,Temporary Accommodation,"£3,543"
8001847713,DRS CARE HOMES LTD,Temporary Accommodation,"£3,543"
8001847666,DRS CARE HOMES LTD,Temporary Accommodation,"£3,543"
8001848848,FAMILIES FOR CHILDREN (SOUTH) LTD,Children and Education,"£3,543"
5201140945,ON TIME PARKING SOLUTIONS,Public Realm,"£3,540"
5201136250,ON TIME PARKING SOLUTIONS,Public Realm,"£3,540"
5201139634,ON TIME PARKING SOLUTIONS,Public Realm,"£3,540"
5201138426,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£3,540"
5201140940,ON TIME PARKING SOLUTIONS,Public Realm,"£3,540"
5201136249,ON TIME PARKING SOLUTIONS,Public Realm,"£3,540"
8001846571,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£3,538"
8001816541,PRECIOUS HOMES LTD,Temporary Accommodation,"£3,537"
8001842281,ST ALEX LTD,Temporary Accommodation,"£3,536"
8001846536,ROSEDENE NURSING HOME,Temporary Accommodation,"£3,535"
8001848922,XCEL 2000 FOSTERCARE SERVICES LTD,Children and Education,"£3,534"
8001847590,MSASA CARE LTD,Temporary Accommodation,"£3,534"
1900803741,FRIENDS OF MUSWELL HILL PF & CW,Public Realm,"£3,524"
8001843651,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,523"
8001843739,GCH PEREGRINE HOUSE LTD,Temporary Accommodation,"£3,521"
8001848763,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,521"
8001848799,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,521"
8001848892,AFFINITY FOSTERING SERVICE LTD,Children and Education,"£3,521"
8001848764,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,521"
8001848712,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,521"
8001848721,BLUE SKY FOSTERING LIMITED,Children and Education,"£3,517"
8001846598,MAGICARE LTD,Temporary Accommodation,"£3,515"
8001847628,ROCKLEY DENE HOMES LTD T/A CANDLE C,Temporary Accommodation,"£3,514"
8001820101,OAK TREE CARE SERVICES LIMITED,Temporary Accommodation,"£3,510"
5201139948,QUARTERBRIDGE PROJECT MANAGEMENT LT,People and Recruitment,"£3,510"
8001767441,CUROCARE LTD,"Construction, Property and Fac Man","£3,508"
8001817021,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£3,500"
5201138626,SHEPHEARD EPSTEIN & HUNTER PLC,"Construction, Property and Fac Man","£3,500"
5201141588,YOTTA LTD,People and Recruitment,"£3,500"
1900805020,PLEXUS CLIENT ACCOUNT,Finance,"£3,500"
1900803701,FAIRVIEW RESIDENTIAL MANAGEMENT LIM,Temporary Accommodation,"£3,500"
1900802996,HARINGEY SIXTH FORM EDUCATION,Children and Education,"£3,500"
1900804528,STANDING TOGETHER AGAINST DOMESTIC,Children and Education,"£3,500"
8001843662,MSASA CARE LTD,Temporary Accommodation,"£3,499"
8001847747,APOLLO CARE & SUPPORTED HOUSING LTD,Social care,"£3,487"
8001825326,DORKING RESIDENTIAL CARE HOMES LTD,Social care,"£3,486"
8001823061,KISHARON,"Construction, Property and Fac Man","£3,482"
8001802261,KISHARON,"Construction, Property and Fac Man","£3,482"
8001803821,KISHARON,"Construction, Property and Fac Man","£3,482"
8001844761,KISHARON,"Construction, Property and Fac Man","£3,482"
8001848678,NAZARETH CARE CHARITABLE TRUST,Social care,"£3,481"
8001848931,WELCOME FOSTER CARE LTD,Children and Education,"£3,480"
5201140710,PENNA PLC,People and Recruitment,"£3,480"
8001843821,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£3,480"
8001848525,SHERRINGHAM LODGE,Temporary Accommodation,"£3,477"
8001845181,THE REGARD PARTNERSHIP LIMITED,Temporary Accommodation,"£3,473"
8001848619,PRIORY GROUP LIMITED,Temporary Accommodation,"£3,473"
8001848819,FOCUS ON FOSTERING LTD,Children and Education,"£3,472"
8001848705,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,471"
8001815447,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£3,469"
1900804435,PRESCOTT THOMAS LTD,Food and Drink,"£3,469"
8001811930,URBAN LAND MANAGEMENT LTD,"Construction, Property and Fac Man","£3,468"
1900802793,WELBOURNE PRIMARY SCHOOL,Children and Education,"£3,467"
8001811986,STEP AHEAD SERVICES LTD,"Construction, Property and Fac Man","£3,465"
8001796201,PREMIER CAREWAITING LTD,Social care,"£3,459"
8001830482,PREMIER CAREWAITING LTD,Social care,"£3,459"
5201139597,ASKEWS & HOLTS LIBRARY SERVICES LTD,Communication,"£3,454"
8001847602,BLOSSOM COMMUNITY CARE,Temporary Accommodation,"£3,454"
8001848711,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,454"
8001848921,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,441"
8001842710,ST ELIZABETHS CENTRE,Social care,"£3,441"
8001822585,VINEYARD (UK) SERVICES LTD,Social care,"£3,441"
8001848793,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001848792,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001848847,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001848742,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001848841,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,440"
8001848759,SUPPORTED FOSTERING SERVICES,Children and Education,"£3,437"
8001815337,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,436"
8001815545,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£3,436"
8001848746,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,433"
8001848901,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432"
8001848902,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432"
8001848749,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432"
8001848750,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432"
8001848771,CAPSTONE VISION FOSTER CARE LTD,Children and Education,"£3,432"
8001835861,THE SHIRES HOME CARE SERVICES LIMIT,Social care,"£3,432"
8001848815,FOCUS ON FOSTERING LTD,Children and Education,"£3,432"
8001843779,CARE UK COMMUNITY PARTNERSHIPS LTD,Temporary Accommodation,"£3,432"
8001848788,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,431"
8001848789,INTEGRATED FOSTERING SERVICES LTD,Children and Education,"£3,431"
1900804111,HEYWOOD LIMITED,IT and Telecoms,"£3,429"
8001848733,FOSTERING OPTIONS LTD,Children and Education,"£3,427"
8001828341,ST LUCY CARE SER T/A STEP FORWARD H,Social care,"£3,425"
1900805031,REDACTED PERSONAL DATA,Legal,"£3,413"
5201141246,JEREMY BENN ASSOCIATES LIMITED,People and Recruitment,"£3,412"
8001848818,ACORN FOSTERING SERVICES LIMITED,Children and Education,"£3,410"
1900804428,PRESCOTT THOMAS LTD,Food and Drink,"£3,406"
5201139051,REDACTED PERSONAL DATA,Sport and Leisure,"£3,406"
8001815534,ISLINGTON COUNCIL,Children and Education,"£3,400"
5201140015,SWEETT (UK) LIMITED,"Construction, Property and Fac Man","£3,400"
8001816501,PRECIOUS HOMES LTD,Social care,"£3,400"
8001805301,MSASA CARE LTD,Temporary Accommodation,"£3,400"
8001815558,MOMENTS FOSTERING LTD,Children and Education,"£3,388"
8001815331,MOMENTS FOSTERING LTD,Children and Education,"£3,388"
8001847571,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£3,388"
8001847586,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£3,388"
8001848786,GREATER LONDON FOSTERING LTD,Children and Education,"£3,382"
8001842794,VENTRY RESIDENTIAL CARE LTD,Social care,"£3,379"
8001846496,BUPA CARE HOMES (ANS) LTD,Temporary Accommodation,"£3,377"
8001848816,FOCUS ON FOSTERING LTD,Children and Education,"£3,377"
8001848810,FOCUS ON FOSTERING LTD,Children and Education,"£3,377"
8001843795,FOREST VIEW CARE HOME,Social care,"£3,376"
1900802232,MOTT MACDONALD LIMITED,"Construction, Property and Fac Man","£3,375"
1900802238,MOTT MACDONALD LIMITED,People and Recruitment,"£3,375"
8001848909,FOCUS ON FOSTERING LTD,Children and Education,"£3,370"
8001848725,FOCUS ON FOSTERING LTD,Children and Education,"£3,366"
8001843654,SOMERSET VILLA RESIDENTIAL CARE HOM,Temporary Accommodation,"£3,366"
8001850896,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£3,361"
8001847617,BAXENDALE WOODSIDE HOME,Temporary Accommodation,"£3,357"
1900803418,STUF STRATEGIC URBAN FUTURES,People and Recruitment,"£3,355"
8001848927,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£3,351"
8001842772,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£3,348"
1900803823,BRITISH GAS BUSINESS,Energy and Utilities,"£3,347"
8001848843,TALAWA FOSTERING SERVICES LTD,Children and Education,"£3,344"
8001848794,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,344"
8001848795,24 SEVEN FOSTERING SERVICES LTD,Children and Education,"£3,344"
8001811889,CARE R US LTD T/A KROSSROADS,"Construction, Property and Fac Man","£3,340"
8001848494,RYANCARE FOSTERING LTD,Children and Education,"£3,337"
8001847738,OURRIS PROPERTIES LIMITED,Temporary Accommodation,"£3,335"
8001850703,ONE HOUSING GROUP LTD,Social care,"£3,333"
5201138780,ASKEWS & HOLTS LIBRARY SERVICES LTD,Communication,"£3,330"
8001848871,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,329"
8001848772,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£3,329"
8001848554,NAS SERVICES LTD,Social care,"£3,325"
8001847675,DRS CARE HOMES LTD,Temporary Accommodation,"£3,321"
